PosProb 0.5
NegProb 0.5
POS * 5.529383142016676e-06
NEG * 3.965814677480121e-06
pos kinder 1.1058766284033353e-05
pos recent 2.7646915710083382e-05
pos flypast 1.1058766284033353e-05
pos nest 1.1058766284033353e-05
pos saw 5.5293831420166764e-05
pos aussie 1.1058766284033353e-05
pos cares 1.1058766284033353e-05
pos pantheon 2.7646915710083382e-05
pos transfer 5.5293831420166764e-05
pos rarity 1.1058766284033353e-05
pos proofing 2.2117532568066706e-05
pos stress 2.7646915710083382e-05
pos commercial 2.2117532568066706e-05
pos combination 1.1058766284033353e-05
pos h 2.7646915710083382e-05
pos amsterdam 0.00012164642912436688
pos excallent 1.1058766284033353e-05
pos porters 9.952889655630017e-05
pos brands 1.1058766284033353e-05
pos platter 1.658814942605003e-05
pos restarants 1.1058766284033353e-05
pos fizz 1.658814942605003e-05
pos anybody 1.658814942605003e-05
pos allowed 0.00011058766284033353
pos triple 3.8705681994116735e-05
pos childrens 1.658814942605003e-05
pos entertainment 3.317629885210006e-05
pos looks 0.00012717581226638356
pos charme 1.658814942605003e-05
pos greenery 1.1058766284033353e-05
pos powerful 8.294074713025015e-05
pos frienlyness 1.1058766284033353e-05
pos argentine 1.1058766284033353e-05
pos relying 1.1058766284033353e-05
pos accomodating 4.976444827815009e-05
pos razvon 1.658814942605003e-05
pos poi 1.1058766284033353e-05
pos registration 1.658814942605003e-05
pos date 3.8705681994116735e-05
pos nouveau 1.1058766284033353e-05
pos addition 3.317629885210006e-05
pos locals 1.658814942605003e-05
pos hated 1.1058766284033353e-05
pos refreshed 1.1058766284033353e-05
pos fantasticly 1.1058766284033353e-05
pos arent 1.1058766284033353e-05
pos tended 1.1058766284033353e-05
pos glad 3.317629885210006e-05
pos sim 1.1058766284033353e-05
pos hello 1.658814942605003e-05
pos signal 1.658814942605003e-05
pos certain 1.658814942605003e-05
pos deducted 1.658814942605003e-05
pos carry 4.976444827815009e-05
pos bery 1.1058766284033353e-05
pos locatiuon 1.1058766284033353e-05
pos unavailable 1.1058766284033353e-05
pos halloween 1.1058766284033353e-05
pos fine 0.0002543516245327671
pos chandelier 2.2117532568066706e-05
pos tour 7.18819808462168e-05
pos unless 1.1058766284033353e-05
pos getting 0.00019905779311260035
pos relax 8.847013027226682e-05
pos aynthing 1.1058766284033353e-05
pos following 6.082321456218344e-05
pos shoe 1.1058766284033353e-05
pos happily 3.317629885210006e-05
pos arrical 1.1058766284033353e-05
pos phenomenal 3.8705681994116735e-05
pos mirror 4.423506513613341e-05
pos loan 1.658814942605003e-05
pos refer 1.1058766284033353e-05
pos electricity 1.1058766284033353e-05
pos healpful 1.1058766284033353e-05
pos lacklustre 1.1058766284033353e-05
pos recepction 1.1058766284033353e-05
pos counting 1.1058766284033353e-05
pos sitting 0.00012717581226638356
pos claudia 1.658814942605003e-05
pos stream 1.1058766284033353e-05
pos cup 1.658814942605003e-05
pos faultless 4.423506513613341e-05
pos sleek 2.2117532568066706e-05
pos upgrade 0.0009621126667109018
pos mail 1.1058766284033353e-05
pos nescafe 1.1058766284033353e-05
pos much 0.001028465264415102
pos talking 2.2117532568066706e-05
pos umbrella 3.317629885210006e-05
pos nigh 1.1058766284033353e-05
pos televisions 1.1058766284033353e-05
pos poster 2.2117532568066706e-05
pos rates 2.7646915710083382e-05
pos corse 1.1058766284033353e-05
pos faux 1.1058766284033353e-05
pos kitcen 1.1058766284033353e-05
pos equipt 1.1058766284033353e-05
pos position 0.00033729237166301725
pos spend 0.00010505827969831686
pos cabin 1.1058766284033353e-05
pos desired 1.1058766284033353e-05
pos bands 1.1058766284033353e-05
pos croqettes 1.1058766284033353e-05
pos hitel 1.1058766284033353e-05
pos sun 2.2117532568066706e-05
pos denfinley 1.1058766284033353e-05
pos peopl 1.1058766284033353e-05
pos lay 3.8705681994116735e-05
pos lion 1.658814942605003e-05
pos ostpark 1.1058766284033353e-05
pos rental 1.1058766284033353e-05
pos kms 1.1058766284033353e-05
pos christmasy 1.1058766284033353e-05
pos dennis 1.1058766284033353e-05
pos hear 4.423506513613341e-05
pos likeable 1.658814942605003e-05
pos beside 6.635259770420012e-05
pos contents 1.658814942605003e-05
pos arches 1.658814942605003e-05
pos above 0.00015482272797646694
pos some 0.0006856435096100679
pos unusual 6.082321456218344e-05
pos environment 8.847013027226682e-05
pos beautifual 1.1058766284033353e-05
pos goes 2.7646915710083382e-05
pos salmon 3.317629885210006e-05
pos disruption 1.1058766284033353e-05
pos lambs 1.1058766284033353e-05
pos satisfactory 2.7646915710083382e-05
pos icing 2.7646915710083382e-05
pos alston 1.1058766284033353e-05
pos soppy 1.1058766284033353e-05
pos manuela 1.658814942605003e-05
pos total 1.658814942605003e-05
pos engaging 2.7646915710083382e-05
pos commanding 1.658814942605003e-05
pos jana 1.1058766284033353e-05
pos tired 5.5293831420166764e-05
pos adds 1.658814942605003e-05
pos knocking 1.658814942605003e-05
pos museums 8.847013027226682e-05
pos leave 0.00014929334483445027
pos brit 1.1058766284033353e-05
pos efforts 1.1058766284033353e-05
pos bruch 1.1058766284033353e-05
pos bday 3.317629885210006e-05
pos arrears 1.1058766284033353e-05
pos iam 1.1058766284033353e-05
pos infront 1.1058766284033353e-05
pos noooooo 1.1058766284033353e-05
pos fairly 0.00011611704598235021
pos colourful 1.1058766284033353e-05
pos lancaster 0.00013270519540840023
pos compliment 1.658814942605003e-05
pos worries 1.658814942605003e-05
pos passing 2.7646915710083382e-05
pos loaned 1.1058766284033353e-05
pos talkative 1.1058766284033353e-05
pos suits 1.1058766284033353e-05
pos claimed 1.1058766284033353e-05
pos close 0.0035719815097427733
pos elevator 6.082321456218344e-05
pos minded 2.2117532568066706e-05
pos errors 1.1058766284033353e-05
pos cleveland 1.1058766284033353e-05
pos convinient 2.2117532568066706e-05
pos crew 1.658814942605003e-05
pos corn 1.1058766284033353e-05
pos cons 2.7646915710083382e-05
pos friend 8.847013027226682e-05
pos exselant 3.317629885210006e-05
pos papers 1.1058766284033353e-05
pos living 8.847013027226682e-05
pos excepting 1.1058766284033353e-05
pos mossani 1.1058766284033353e-05
pos emplacement 1.1058766284033353e-05
pos intercontinental 3.317629885210006e-05
pos bigger 0.00012717581226638356
pos madame 1.1058766284033353e-05
pos inconvenience 6.635259770420012e-05
pos atmospheric 5.5293831420166764e-05
pos promise 1.1058766284033353e-05
pos ask 0.00012717581226638356
pos exselent 1.1058766284033353e-05
pos inadvertently 1.1058766284033353e-05
pos ensuite 2.7646915710083382e-05
pos woburn 1.1058766284033353e-05
pos meet 3.317629885210006e-05
pos pier 1.1058766284033353e-05
pos drained 1.1058766284033353e-05
pos leeds 1.1058766284033353e-05
pos hugh 1.658814942605003e-05
pos pnds 1.1058766284033353e-05
pos eifel 1.1058766284033353e-05
pos disappoint 1.658814942605003e-05
pos respectful 1.658814942605003e-05
pos atms 2.2117532568066706e-05
pos kind 0.0004534094176453675
pos scenic 1.1058766284033353e-05
pos pleasurable 1.1058766284033353e-05
pos wifi 0.000547408931059651
pos usb 1.658814942605003e-05
pos valentine 1.1058766284033353e-05
pos clan 1.1058766284033353e-05
pos red 6.635259770420012e-05
pos reviews 3.317629885210006e-05
pos block 0.00011611704598235021
pos courtyards 1.1058766284033353e-05
pos mitigated 1.1058766284033353e-05
pos only 0.001127994160971402
pos colligues 1.1058766284033353e-05
pos courses 1.1058766284033353e-05
pos corners 1.1058766284033353e-05
pos always 0.0007907017893083848
pos grab 1.658814942605003e-05
pos exact 1.658814942605003e-05
pos greated 1.1058766284033353e-05
pos londons 1.1058766284033353e-05
pos flights 1.1058766284033353e-05
pos former 2.2117532568066706e-05
pos steeped 2.2117532568066706e-05
pos plump 1.1058766284033353e-05
pos fleetstreet 1.1058766284033353e-05
pos pina 1.1058766284033353e-05
pos internal 2.2117532568066706e-05
pos nz 1.1058766284033353e-05
pos art 4.976444827815009e-05
pos actual 4.976444827815009e-05
pos concealed 1.1058766284033353e-05
pos door 0.0003096454559529339
pos beed 1.1058766284033353e-05
pos sacre 1.1058766284033353e-05
pos taking 9.952889655630017e-05
pos store 7.18819808462168e-05
pos chatty 2.7646915710083382e-05
pos unbeatable 2.2117532568066706e-05
pos confort 1.658814942605003e-05
pos bring 8.847013027226682e-05
pos atm 1.1058766284033353e-05
pos tests 1.1058766284033353e-05
pos undergone 1.1058766284033353e-05
pos diana 2.7646915710083382e-05
pos hands 3.317629885210006e-05
pos lacking 1.1058766284033353e-05
pos prefect 1.1058766284033353e-05
pos speed 4.976444827815009e-05
pos opulence 1.658814942605003e-05
pos dario 1.1058766284033353e-05
pos surroundings 9.39995134142835e-05
pos opinion 3.8705681994116735e-05
pos scrupulously 1.1058766284033353e-05
pos duty 6.082321456218344e-05
pos debatable 1.1058766284033353e-05
pos other 0.0006524672107579678
pos comfort 0.0004865857164974675
pos lifts 4.423506513613341e-05
pos impersonal 1.658814942605003e-05
pos outskirts 1.1058766284033353e-05
pos numerous 4.976444827815009e-05
pos nice 0.00715502178576958
pos cherry 1.1058766284033353e-05
pos brillianthotel 1.1058766284033353e-05
pos spent 7.741136398823347e-05
pos necessities 1.1058766284033353e-05
pos spread 3.8705681994116735e-05
pos knotting 1.1058766284033353e-05
pos luann 1.1058766284033353e-05
pos positive 4.423506513613341e-05
pos splendor 1.1058766284033353e-05
pos pick 6.082321456218344e-05
pos olde 5.5293831420166764e-05
pos indian 0.00011058766284033353
pos stayed 0.0009842301992789685
pos compensated 2.7646915710083382e-05
pos cereal 3.317629885210006e-05
pos enthusiasm 1.1058766284033353e-05
pos cleabliness 1.1058766284033353e-05
pos among 1.658814942605003e-05
pos cristina 1.1058766284033353e-05
pos standard 0.00039258620308318406
pos breakfas 1.1058766284033353e-05
pos match 2.2117532568066706e-05
pos gave 0.0005252913984915842
pos meantime 1.1058766284033353e-05
pos routine 1.1058766284033353e-05
pos grout 1.1058766284033353e-05
pos tiniest 1.658814942605003e-05
pos based 3.8705681994116735e-05
pos check 0.0010616415632672019
pos architectural 3.317629885210006e-05
pos innercourt 1.1058766284033353e-05
pos external 2.2117532568066706e-05
pos strategic 2.7646915710083382e-05
pos duck 0.00012164642912436688
pos latter 1.1058766284033353e-05
pos prison 1.1058766284033353e-05
pos maintenance 4.423506513613341e-05
pos excelent 1.658814942605003e-05
pos eventually 4.423506513613341e-05
pos ur 1.658814942605003e-05
pos suprise 2.2117532568066706e-05
pos coupons 1.1058766284033353e-05
pos buddy 1.1058766284033353e-05
pos lot 0.00038705681994116736
pos iulian 1.1058766284033353e-05
pos oc 1.1058766284033353e-05
pos efficiently 2.7646915710083382e-05
pos turnef 1.1058766284033353e-05
pos maybe 5.5293831420166764e-05
pos expected 0.00019352840997058368
pos dish 1.658814942605003e-05
pos safe 0.00026541039081680047
pos barely 4.423506513613341e-05
pos dressing 4.423506513613341e-05
pos pizzas 1.1058766284033353e-05
pos laundry 0.0001382345785504169
pos rimligt 1.1058766284033353e-05
pos book 0.00026541039081680047
pos catering 1.658814942605003e-05
pos comforts 2.2117532568066706e-05
pos swift 3.317629885210006e-05
pos boris 1.1058766284033353e-05
pos freshness 1.1058766284033353e-05
pos giod 1.1058766284033353e-05
pos recharge 1.1058766284033353e-05
pos groups 1.1058766284033353e-05
pos worrying 1.1058766284033353e-05
pos range 7.741136398823347e-05
pos colors 2.7646915710083382e-05
pos samsung 1.1058766284033353e-05
pos spaces 8.294074713025015e-05
pos jet 1.658814942605003e-05
pos pizza 2.7646915710083382e-05
pos yes 4.423506513613341e-05
pos threatre 1.1058766284033353e-05
pos bruises 1.1058766284033353e-05
pos veryyyy 1.1058766284033353e-05
pos stable 1.658814942605003e-05
pos refurbishment 3.8705681994116735e-05
pos via 8.847013027226682e-05
pos sounded 1.1058766284033353e-05
pos atmoshpere 1.1058766284033353e-05
pos value 0.001315993187799969
pos neighbourhoud 1.1058766284033353e-05
pos ect 2.2117532568066706e-05
pos heating 9.952889655630017e-05
pos experiance 2.7646915710083382e-05
pos theatre 0.0004921150996394843
pos already 7.741136398823347e-05
pos inviting 2.7646915710083382e-05
pos honoured 1.658814942605003e-05
pos cookie 1.1058766284033353e-05
pos take 0.00026541039081680047
pos calm 3.8705681994116735e-05
pos types 1.658814942605003e-05
pos pricey 4.976444827815009e-05
pos thomas 1.1058766284033353e-05
pos ver 1.1058766284033353e-05
pos carrying 2.2117532568066706e-05
pos emanating 1.1058766284033353e-05
pos rheten 1.1058766284033353e-05
pos eco 1.1058766284033353e-05
pos guide 1.1058766284033353e-05
